document_id,filename,chunk_id,content,page_range,element_types,char_count,created_at
2419b8ec-0000-47b3-b188-4c59b6962fa1,1.pdf,1,"CHY  OF PHILADELPHIA
ALL  PROPRIETARY  FUND  TYPES, PENSION  AND  NON   EXPENDABLE  TRUST  FUNDS   EXHIBIT  l-A-3
COMBINED  STATEMENT  OF REVENUES,  EXPENSES  AND  CHANGES  IN  UNRESERVED  RETAINED  EARNINGS/FUND  BALANCES
FOR THE  FISCAL  YEAR  ENDED  JUNE  30,1991

Proprietary Fund  Types  Fiduciary Fund  Types

Enterprise  
Funds
 Internal
Service 
Funds
 Pension  
Trust 
Funds
 Non-Expendable  
Trust 
Funds
 Totals 
(Memorandum  
Only)

Operating Revenues: 
Charges  for Goods  and  Services $  761,037,198 $ 6,463,117 $ $ $  767,500,315
Sales of Land and  Improvements 2,289,269 - - 2,289,269
Rentals and  Concessions 117,966,014 - - 117,966,014
Interest and  Dividends - 92,355,323 225,524 92,580,847
Gain (Loss) from Sale of Investments - (16,160,057) 323 (16,159,734)
Miscellaneous  Operating Revenues 13,317,294 735,824 49,282 14,102,400
Contributions - ---------- -   - 264,112,108 90,337 264,202,445

Total Operating Revenues 894,609,775 6,463,117 341,043,198 365,466 1,242,481,556

Operating Expenses: 
Personal Services 216,867,731 1,102,279 1,350,213 219,320,223
Purchase of Services 137,981,998 - 1,455,957 - 139,437,955
Materials and  Supplies 44,232,063 - 49,223 - 44,281,286
Employee Benefits 80,183,918 500,762 656,818 - 81,341,498
Indemnities  and  Taxes 11,566,678 - - - 11,566,678
Depreciation  and  Amortization 106,695,935 88,664 - - 106,784,599
Cost  of Goods  Sold 239,049,395 3.",sentences_0-1,"text, paragraph",1409,2025-06-27T19:32:47.196964+00:00
2419b8ec-0000-47b3-b188-4c59b6962fa1,1.pdf,2,"499 - - 243,039,894
Pension  Benefits - 272,687,978 - 272,687,978
Refunds  of Members’ Contributions - - 7,189,795 - 7,189,795
Other Operating Expenses 62,092,449 985,419 7,154,947 141,207 70,374,022

Total Operating  Expenses 898,670,167 6,667,623 290,544,931 141,207 1,196,023,928

Operating Income (Loss) (4,060,392) (204,506) 50,498,267 224,259 46,457,628

Non-Operating  Revenues (Expenses): 
Operating Grants 42,984,863 42,984,863
Other Income 9,718,611 27,002 - 9,745,613
Interest Income 44,861,242 - 44,861,242
Debt  Service - Interest (143,267.",sentences_0-2,"text, paragraph",555,2025-06-27T19:32:47.196964+00:00
2419b8ec-0000-47b3-b188-4c59b6962fa1,1.pdf,3,"763) - (143,267,763)
Other Expenses (13,135,013) ----------- --- _____ -______ — (13,135,013)

Total Non-Operating  Revenues (Expenses) (58,838,060) 27,002 - ___ - (58,811,058)

Income (Loss)  Before Operating  Transfers (62,898,452) (177,504) 50,498,267 224,259 (12,353,430)
Operating  Transfers In 72,570,732 - 72,570,732
Operating  Transfers Out (48,384,259) -------.",sentences_0-3,"text, paragraph",372,2025-06-27T19:32:47.196964+00:00
2419b8ec-0000-47b3-b188-4c59b6962fa1,1.pdf,4,"(42,366) (48,426,625)

Net  Income (Loss) (38,711,979) 1177,504) 50,498,267 181,893 11,790,677

Other Changes  in Unreserved  Retained Earnings: 
Credit  Arising  from Transfer of Depreciation  to 
Contributed  Capital  - Other Sources 19,383,370 19,383,370
(Increase) Decrease  in Reserve for Capital  Purposes 14,503,947 - - 14,503,947
Transfer to Members' Contributions - (24,528,983) - (24,528,983)
(increase) Decrease  in Reserve for Trust Principal - (220,595) (220,595)
(Increase) Decrease  in Reserve for Debt  Service (81,427) ---------- - - (81,427)

Net  Change  in Unreserved  Retained Earnings/ 
Fund  Balance for the Year (4.
906,089) (177.",sentences_0-5,"text, paragraph",654,2025-06-27T19:32:47.196964+00:00
2419b8ec-0000-47b3-b188-4c59b6962fa1,1.pdf,5,"969,284 (38,702) 20,846,989

Retained Eamings/Fund  Balance - Unreserved,  
July 1,1990 194,998,463 2212,739 1,505,713,352 1,832,448 1,704,757,002

Retained Eamings/Fund  Balance - Unreserved,  
June 30.
1991 $  190,092,374 5 2,035.
235 $ 1,531,682,636 $ 1,793,746 L 1.
725,603,991

The accompanying  notes to financial  statements are an integral part of this statement

I-6.",final_chunk_5,text,376,2025-06-27T19:32:47.196964+00:00
0cebef88-cbe2-433a-a1fc-2c4dc44cafb3,1.pdf,1,"CHY  OF PHILADELPHIA
ALL  PROPRIETARY  FUND  TYPES, PENSION  AND  NON   EXPENDABLE  TRUST  FUNDS   EXHIBIT  l-A-3
COMBINED  STATEMENT  OF REVENUES,  EXPENSES  AND  CHANGES  IN  UNRESERVED  RETAINED  EARNINGS/FUND  BALANCES
FOR THE  FISCAL  YEAR  ENDED  JUNE  30,1991

Proprietary Fund  Types  Fiduciary Fund  Types

Enterprise  
Funds
 Internal
Service 
Funds
 Pension  
Trust 
Funds
 Non-Expendable  
Trust 
Funds
 Totals 
(Memorandum  
Only)

Operating Revenues: 
Charges  for Goods  and  Services $  761,037,198 $ 6,463,117 $ $ $  767,500,315
Sales of Land and  Improvements 2,289,269 - - 2,289,269
Rentals and  Concessions 117,966,014 - - 117,966,014
Interest and  Dividends - 92,355,323 225,524 92,580,847
Gain (Loss) from Sale of Investments - (16,160,057) 323 (16,159,734)
Miscellaneous  Operating Revenues 13,317,294 735,824 49,282 14,102,400
Contributions - ---------- -   - 264,112,108 90,337 264,202,445

Total Operating Revenues 894,609,775 6,463,117 341,043,198 365,466 1,242,481,556

Operating Expenses: 
Personal Services 216,867,731 1,102,279 1,350,213 219,320,223
Purchase of Services 137,981,998 - 1,455,957 - 139,437,955
Materials and  Supplies 44,232,063 - 49,223 - 44,281,286
Employee Benefits 80,183,918 500,762 656,818 - 81,341,498
Indemnities  and  Taxes 11,566,678 - - - 11,566,678
Depreciation  and  Amortization 106,695,935 88,664 - - 106,784,599
Cost  of Goods  Sold 239,049,395 3.",sentences_0-1,"text, paragraph",1409,2025-06-27T19:26:20.935982+00:00
0cebef88-cbe2-433a-a1fc-2c4dc44cafb3,1.pdf,2,"499 - - 243,039,894
Pension  Benefits - 272,687,978 - 272,687,978
Refunds  of Members’ Contributions - - 7,189,795 - 7,189,795
Other Operating Expenses 62,092,449 985,419 7,154,947 141,207 70,374,022

Total Operating  Expenses 898,670,167 6,667,623 290,544,931 141,207 1,196,023,928

Operating Income (Loss) (4,060,392) (204,506) 50,498,267 224,259 46,457,628

Non-Operating  Revenues (Expenses): 
Operating Grants 42,984,863 42,984,863
Other Income 9,718,611 27,002 - 9,745,613
Interest Income 44,861,242 - 44,861,242
Debt  Service - Interest (143,267.",sentences_0-2,"text, paragraph",555,2025-06-27T19:26:20.935982+00:00
0cebef88-cbe2-433a-a1fc-2c4dc44cafb3,1.pdf,3,"763) - (143,267,763)
Other Expenses (13,135,013) ----------- --- _____ -______ — (13,135,013)

Total Non-Operating  Revenues (Expenses) (58,838,060) 27,002 - ___ - (58,811,058)

Income (Loss)  Before Operating  Transfers (62,898,452) (177,504) 50,498,267 224,259 (12,353,430)
Operating  Transfers In 72,570,732 - 72,570,732
Operating  Transfers Out (48,384,259) -------.",sentences_0-3,"text, paragraph",372,2025-06-27T19:26:20.935982+00:00
0cebef88-cbe2-433a-a1fc-2c4dc44cafb3,1.pdf,4,"(42,366) (48,426,625)

Net  Income (Loss) (38,711,979) 1177,504) 50,498,267 181,893 11,790,677

Other Changes  in Unreserved  Retained Earnings: 
Credit  Arising  from Transfer of Depreciation  to 
Contributed  Capital  - Other Sources 19,383,370 19,383,370
(Increase) Decrease  in Reserve for Capital  Purposes 14,503,947 - - 14,503,947
Transfer to Members' Contributions - (24,528,983) - (24,528,983)
(increase) Decrease  in Reserve for Trust Principal - (220,595) (220,595)
(Increase) Decrease  in Reserve for Debt  Service (81,427) ---------- - - (81,427)

Net  Change  in Unreserved  Retained Earnings/ 
Fund  Balance for the Year (4.
906,089) (177.",sentences_0-5,"text, paragraph",654,2025-06-27T19:26:20.935982+00:00
0cebef88-cbe2-433a-a1fc-2c4dc44cafb3,1.pdf,5,"969,284 (38,702) 20,846,989

Retained Eamings/Fund  Balance - Unreserved,  
July 1,1990 194,998,463 2212,739 1,505,713,352 1,832,448 1,704,757,002

Retained Eamings/Fund  Balance - Unreserved,  
June 30.
1991 $  190,092,374 5 2,035.
235 $ 1,531,682,636 $ 1,793,746 L 1.
725,603,991

The accompanying  notes to financial  statements are an integral part of this statement

I-6.",final_chunk_5,text,376,2025-06-27T19:26:20.935982+00:00
0dbf182b-1320-4076-a9e4-c79fc6937cc7,2.1+Goddu+(539-578)+-+REVIEW1.pdf,1,"Informal Logic, Vol.
4 (2021), pp.
A Simple Theory of Argument Schemes 

G.
GODDU 

Department of Philosophy 
University of Richmond 
401 Ryland Hall   
Richmond, Virginia 
USA 
ggoddu@richmond.
edu 
  
Abstract:  While  there  has  been  in 
depth  discussion  of  many  particular 
argumentation  schemes,  some  lament 
that there is little to no theory under-
pinning  the  notion  of  an  argumenta-
tion  scheme.
Here  I  shall  argue 
against  the  utility  of  argument 
schemes,  at  least  as  a  fundamental 
part  of  a  complete  theory  of  argu-
ments.
I shall also present and defend 
a minimalist theory of their nature—a 
scheme  is  just  a  set  of  proposition 
expressions  and  propositional  func-
tions.",sentences_0-7,"text, paragraph",730,2025-06-27T17:22:34.286922+00:00
0dbf182b-1320-4076-a9e4-c79fc6937cc7,2.1+Goddu+(539-578)+-+REVIEW1.pdf,2,"While  simple,  the  theory 
contravenes several typical desiderata 
of  argumentation  schemes  such  as  (i) 
aiding  in  the  identification  of  enthy-
memes  and  (ii)  keeping  arguments 
constrained  to  a  manageable  taxono-
my.
So much the worse for the desid-
erata.
Instead,  I  shall  recommend 
focusing less on schemes and more on 
the  component  propositional  func-
tions.
Résumé:  Bien  qu'il  y  ait  eu  une 
discussion  approfondie  sur  de  nom-
breux  schèmes  d'argumentation 
particuliers,  certains  déplorent  qu'il  y 
ait peu ou pas de théorie sous-tendant 
la  notion  de  schème  d'argumentation.",sentences_1-11,"text, paragraph",634,2025-06-27T17:22:34.286922+00:00
0dbf182b-1320-4076-a9e4-c79fc6937cc7,2.1+Goddu+(539-578)+-+REVIEW1.pdf,3,"Ici,  je  vais  avancer  des  arguments 
contre  l'utilité  des  schèmes  d'argu-
mentation, au moins en tant que partie 
fondamentale  d'une  théorie  complète 
des  arguments.
Je  présenterai  et 
défendrai  également  une  théorie 
minimaliste de leur nature: un schème 
n'est qu'un ensemble d'expressions de 
proposition  et  de  fonctions  proposi-
tionnelles.
Bien que simple, la théorie 
enfreint  plusieurs  desiderata  typiques 
des  schèmes  d'argumentation  tels 
qu’aider  à  (i)  identifier  des  en-
thymèmes et (ii) limiter les arguments 
à  une  taxonomie  gérable.
Tant  pis 
pour les desiderata.
Au lieu de cela, je 
recommanderai  de  concentrer  moins 
sur  les  schèmes  et  plus  sur  compo-
sants  des  propositions  fonctionnelles.",sentences_6-16,"text, paragraph",773,2025-06-27T17:22:34.286922+00:00
0dbf182b-1320-4076-a9e4-c79fc6937cc7,2.1+Goddu+(539-578)+-+REVIEW1.pdf,4,"Keywords:  argumentative  constant,  argumentative  force,  argument  taxonomy, 
critical questions, propositional functions, schemes 
 

540  Goddu   

© G.
Informal Logic, Vol.
4 (2021), pp.
Introduction 

Even though there has been in depth discussion of many particular 
argumentation  schemes  (see,  for  example,  Macagno  and  Walton 
2017;  Walton  2000;  Walton  1999;  Walton  1996),  there  has  also 
been  a  lament  that  there  is  little  to  no  theory  underpinning  the 
notion  of  an  argumentation  scheme  (Dove  and  Nussbaum  2018).
Here  I  shall  present  and  discuss  the  consequences  of  some  very 
minimalist theories of what argumentation schemes are.",sentences_11-21,"text, paragraph",688,2025-06-27T17:22:34.286922+00:00
0dbf182b-1320-4076-a9e4-c79fc6937cc7,2.1+Goddu+(539-578)+-+REVIEW1.pdf,5,"I emphasize that my focus here is on the nature of argumenta-
tion  schemes  and  not  a  general  theory  of  schemes,  though,  of 
course, the nature of schemes will have consequences for a more 
general theory.
Without an adequate theory of the nature or ontol-
ogy  of  schemes  we  cannot  hope  to  achieve  an  acceptable  and 
firmly grounded general theory of schemes.
Such a general theory 
might also include a categorization of schemes, a means of distin-
guishing  good  schemes  from  bad  ones,  an  articulation  of  how  to 
use  schemes  to  aid  in  other  aspects  of  argumentation  theory,  etc.
Regardless,  I  shall  only  briefly  touch  on  a  more  general,  yet  still 
quite simple, theory of argumentation schemes towards the end of 
the paper.",sentences_15-25,"text, table",775,2025-06-27T17:22:34.286922+00:00
0dbf182b-1320-4076-a9e4-c79fc6937cc7,2.1+Goddu+(539-578)+-+REVIEW1.pdf,6,"In section 2, I shall present an underlying assumption of many 
theorists about schemes and discuss two minimalist theories of the 
nature of schemes consistent with that assumption.
In section 3, I 
shall  argue  that  these  two  minimalist  theories  do  not  satisfy  the 
typical  desiderata  theorists  hope  to  achieve  by  appealing  to  argu-
mentation  schemes.
In  section  4,  I  shall  suggest  that  attempts  to 
modify  the  theories,  or  to  reject  the  underlying  assumption,  to 
meet the desiderata are unlikely to succeed.",sentences_18-28,"text, paragraph",547,2025-06-27T17:22:34.286922+00:00
0dbf182b-1320-4076-a9e4-c79fc6937cc7,2.1+Goddu+(539-578)+-+REVIEW1.pdf,7,"Finally, in section 5, I 
shall hypothesize that instead of taking the results of section 3 and 
4  as  a  reductio  of  the  minimalist  theories  (or  the  underlying  as-
sumption), we should instead focus less on schemes and more on 
the component parts.
What are argument schemes? 

According to Douglas Walton, Chris Reed, and Fabrizio Macagno, 
in their book, Argumentation Schemes:  
 
 A simple theory of argument schemes  541 
 

© G.
Informal Logic, Vol.
4 (2021), pp.
Argumentation  schemes  are  forms  of  argument  (structures  of  in-
ference)  that  represent  structures  of  common  types  of  arguments 
used  in  everyday  discourse,  as  well  as  in  special  contexts  like 
those  of  legal  argumentation  and  scientific  argumentation  (2008, 
p, 1).",sentences_23-33,"text, paragraph",779,2025-06-27T17:22:34.286922+00:00
0dbf182b-1320-4076-a9e4-c79fc6937cc7,2.1+Goddu+(539-578)+-+REVIEW1.pdf,8,"1 
 
Though  I  am  not  sure  what  it  means  for  a  form  of  argument  to 
represent a structure of a common type of argument, we can start 
with the notion that argument schemes are at the very least forms 
of argument.
Indeed, their very next sentence is: “They include the 
deductive and inductive forms of argument that we are already so 
familiar with in logic …” (Walton, Reed, and Macagno, 2008, p.
1; see also, p.
Though perhaps not wholly explicit, Christoph 
Lumer (2011), David Hitchcock, (2017), and Manfred Kienpoint-
ner,  (2018),  all,  at  least  by  the  examples  they  give,  endorse  this 
last  claim.
Hence,  whatever  argument  schemes  are,  it  is  as  least 
true that: 
  (1) Logical forms are a type of argument scheme.",sentences_28-38,"text, paragraph",758,2025-06-27T17:22:34.286922+00:00
0dbf182b-1320-4076-a9e4-c79fc6937cc7,2.1+Goddu+(539-578)+-+REVIEW1.pdf,9,"Here, then, is a simple way to get a theory that accepts (1).
Sup-
pose  an  argument  is  a  set  of  a  set  of  propositions  and  another 
proposition.
Argument  schemes  are  the  forms  of  arguments  or 
schematic  arguments.
Propositional  functions  are  the  forms  of 
propositions or schematic propositions.
Hence, the simplest theory 
of the nature of argument schemes would be: 
  T1:  An  argument  scheme  is  a  set  of  a  set  of  propositional 
functions and another propositional function.
Propositional functions 

What exactly is a propositional function? According to Russell and 
Whitehead: 
  By a ‘propositional function’ we mean something which contains 
a variable x, and expresses a proposition as soon as a value is as-
signed to x.",sentences_34-44,"text, paragraph",767,2025-06-27T17:22:34.286922+00:00
0dbf182b-1320-4076-a9e4-c79fc6937cc7,2.1+Goddu+(539-578)+-+REVIEW1.pdf,10,"That is to say, it differs from  a  proposition  solely  by 
 
1 See also Macagno (2015), Macagno (2018), and Wyner (2016).
542  Goddu   

© G.
Informal Logic, Vol.
4 (2021), pp.
the  fact  that  it  is  ambiguous:  it  contains  a  variable  of  which  the 
value is unassigned.
(Russell & Whitehead 1925, p.
Assuming  there  is  a  difference  between  the  things  that  express 
propositions (presumably some sort of sentence in some language) 
and propositions themselves, then it is hard to make both sentences 
of  what  Russell  and  Whitehead  say  compatible,  since  the  first 
makes  them  the  sort  of  thing  that  express  propositions,  while  the 
second makes them a kind of ambiguous proposition.",sentences_41-51,"text, paragraph",718,2025-06-27T17:22:34.286922+00:00
0dbf182b-1320-4076-a9e4-c79fc6937cc7,2.1+Goddu+(539-578)+-+REVIEW1.pdf,11,"Their gloss 
on ambiguity in terms of a variable with an unassigned value does 
not help.
A variable is itself an expression and so the propositions 
themselves would not contain variables.
The question is what does 
the variable express or represent? Presumably, some sort of hole or 
gap or incompleteness in a partial proposition.
I suspect one could go either way with a theory of propositional 
functions  and  so  the  ontology  of  argument  schemes—schemes 
could  be  (i)  sets  of  expressions  with  at  least  one  variable  or  (ii) 
sets of incomplete propositions.",sentences_45-55,"text, paragraph",581,2025-06-27T17:22:34.286922+00:00
0dbf182b-1320-4076-a9e4-c79fc6937cc7,2.1+Goddu+(539-578)+-+REVIEW1.pdf,12,"In favor of propositions one might 
argue, firstly, that if one thinks it is possible for different expres-
sions  to  express  the  same  scheme,  then  since  the  expressions  are 
different  and  the  scheme  the  same,  the  scheme  had  better  not  be 
composed of expressions.
For example, if one thinks that ‘Anyone 
who respects Bob ought to respect George; x respects Bob; hence x 
ought  to  respect  George’  is  just  another  way  of  expressing  the 
same scheme as ‘If x respects Bob, then x ought to respect George; 
x respects Bob; so x ought to respect George’ then one will have to 
opt for propositional functions as incomplete propositions or prop-
ositions  with  ‘holes.",sentences_47-57,"text, paragraph",705,2025-06-27T17:22:34.286922+00:00
0dbf182b-1320-4076-a9e4-c79fc6937cc7,2.1+Goddu+(539-578)+-+REVIEW1.pdf,13,"’  We  express  these  incomplete  propositions 
via  sentences  with  variables  in  them  to  represent  the  ‘holes’  and 
yet  it  appears  that  different  such  expressions  can  represent  the 
same incomplete proposition.
Secondly, if one takes seriously that 
argument  schemes  are  arguments  with  ‘holes’  in  them,  and  that 
arguments are composed of propositions, as many are inclined to 
do, then the ‘holes’ will be in the constituent propositions, and so 
propositional functions will be propositions with ‘holes’ in them.
Unfortunately, given (1), the second argument leads to incoher-
ence.
If  we  take  seriously  the  claim  that  argument  schemes  are 

A simple theory of argument schemes  543 
 

© G.
Informal Logic, Vol.
4 (2021), pp.",sentences_53-63,"text, paragraph",784,2025-06-27T17:22:34.286922+00:00
0dbf182b-1320-4076-a9e4-c79fc6937cc7,2.1+Goddu+(539-578)+-+REVIEW1.pdf,14,"schemes  with  ‘holes,’  and  take  seriously  the  claim  that  logical 
forms, such as: 
 
  S1: If X, then Y; X; hence, Y 
 
are  schemes,  then  the  ‘holes’  may  not  merely  be  ‘holes’  in  the 
constituent propositions, but ‘holes’ that encompass entire propo-
sitions.
For  example,  the  ‘X’  in  S1  is  not  a  proposition  with  a 
‘hole’ in it, or an incomplete proposition, but at best a ‘hole’ that 
can be filled by entire propositions.
We may be able to make the 
holes in a piece of swiss cheese bigger and bigger, but a hole that 
excludes all the cheese is not an instance of swiss cheese or even 
an incomplete piece of swiss cheese.",sentences_56-66,"text, paragraph",684,2025-06-27T17:22:34.286922+00:00
