ICR_ID,PLANT NAME,FACILITY_NAME,LOCATION_ADDRESS,CITY,STATE COUNTY_NAME,ZIPCODE
TX3B1110,TOTAL Port Arthur Refinery BP Texas City Refinery,BP TEXAS CITY REFINERY,HIGHWAY 366 AND 32ND STREET 2401 5TH AVE S,PORT ARTHUR TEXAS CITY,Jefferson County Galveston County,77640 77590
,CITGO Refining & Chemicals L.P. (CITGO East Plant,CITGO EAST PLANT REFINERY,1801 NUECES BAY BLVD,CORPUS CHRISTI,Nueces County,78407
TX3B1130 TX3B1131,Refinery) CITGO Refining & Chemicals L.P. (CITGO West Plant Refinery),CITGO REFINING & CHEMICALS CO LP,7350 INTERSTATE HWY. 37,CORPUS CHRISTI CORPUS CHRISTI,Nueces County Nueces County,78409
TX3B1140,0352004101 Pasadena Refining System Inc.,VALERO REFINING TEXAS LP CORPUS CHRISTI EAST PLANT PASADENA REFINING SYSTEM PRSI WEST DEMOLITION PROJECT,1300 CANTWELL LN 111 RED BLUFF ROAD,,Harris County,78407 77501
TX3B1150,,EXXONMOBIL REF & SUPPLY,2800 DECKER DR,PASADENA BAYTOWN,Harris County,
TX3B1160,Baytown Refinery,,,BEAUMONT,Jefferson County,77520
TX3B1170,Beaumont Refinery,EXXONMOBIL OIL BEAUMONT REFINERY,1795 BURT STREET,,,77701
TX3B1180 TX3B1181,"Flint Hills Resources, LLC Corpus Christi West Refinery Flint Hills Resources, LLC Corpus Christi East Refinery",FLINT HILLS RESOURCES LP - WEST PLANT KOCH REFINING COMPANY,2825 SUNTIDE ROAD 1700 NUECES BAY BOULEVARD,CORPUS CHRISTI CORPUS CHRISTI,Nueces County Nueces County,78409 78408
TX3B1200,Refining LP,CHANNEL ENERGY ENERGY,12000 LAWNDALE ST,HOUSTON,Harris County,77017
,Houston,,,TEXAS CITY,,
TX3B1210,Texas Refining Division,MARATHON ASHLAND PETROLEUM CO LLC,1320 LOOP 197 S.,,Galveston County,77590
TX3B1220,Motiva Enterprises LLC Port Arthur Refinery,PORT ARTHUR REFINERY,2100 HOUSTON AVE,PORT ARTHUR,Jefferson County,77640
TX3B1240,"ConocoPhillips, Sweeny Refinery 035200l104",PHILLIPS 66 COMPANY SWEENY COMPLEX,2611 COUNTY ROAD 314 1801 S. GULFWAY DRIVE,BRAZORIA PORT ARTHUR,Brazoria County Jefferson County,77422 77640
TX3B1250,Park Refining Limited Partnership (EIA ID# 1339570101),Valero Refining Co. - Port Arthur (prev. Premcor Refining Group Inc.) SHELL OIL DEER PARK,5900 HIGHWAY 225,DEER PARK,Harris County,77536
TX3B1260,Deer,TRIGEANT LTD,UP RIVER ROAD,CORPUS,Nueces County,
TX3B1270,"BTB Refining, LLC",VALERO REFINING - TEXAS L.P.,6600,CHRISTI,,78409
TX3B1310 TX3B1320,352004101 Houston Refinery,VALERO REFINING HOUSTON REFINERY,5900 UP RIVER ROAD 9701 MANCHESTER,CORPUS CHRISTI HOUSTON,Nueces County Harris County,78412 77012
TX3B1330,Valero Texas City Plant,Valero Refining Co. Texas,LOOP 197 SOUTH AND 14TH ST,TEXAS CITY,Galveston County,77590
UT4A1340,Refining and Marketing,Tesoro - Salt Lake City,474 West 900 North,LAKE,Salt Lake County,
UT4A1350,Tesoro Company,CHEVRON USA PRODUCTS COMPANY,2351 N 1100W,SALT CITY,,841031494
UT4A1360,Salt Lake Refinery,,,SALT LAKE CITY,Salt Lake County,84116
UT4A1370 UT4A1380,"Silver Eagle Refining-Woods Cross West Oil, LLC",Silver Eagle Refining Big West Oil Co. (Flying J),2355 South 1100 West CENTER ST,WOODS CROSS NORTH SALT LAKE,Davis County Davis County,84087 84054
VA1A1390,Big Cross Refinery,"HOLLY REFINING & MARKETING, FKA PHILLIPS 66 COMPANY",333W 393 South 800 West,Woods Cross,Davis County York County,84087 23692
VI6A1530,"Woods Refining Yorktown, Inc.",GIANT YORKTOWN REFINERY,2201 GOODWIN NECK RD,GRAFTON CHRISTIANSTED,St. Croix,
,Western,HOVENSA LLC,1 ESTATE HOPE,,,
WA5A1400 WA5A1410,Hovensa L.L.C. BP Cherry Point Refinery,BP West Coast Products - Cherry,4519 GRANDVIEW RD,BLAINE,Whatcom,00820 98230
WA5A1420,Shell Oil Products US- Puget Sound Refinery,Point SHELL OIL ANACORTES REFINERY,8505 SOUTH TEXAS ROAD,ANACORTES ANACORTES,County Skagit County Skagit County,98221
WA5A1430,Anacortes Refinery Ferndale Refinery,ANACORTES REFINERY TESORO NORTHWEST COMPANY CONOCOPHILLIPS CO FERNDALE REFINERY,10200W MARCH POINT RD 3901 UNICK RD,FERNDALE,Whatcom County,98221
WA5A1440,,U.S. OIL & REFINING CO.,3001 MARSHALL AVE,TACOMA,Pierce County,98248 98421
WI2B1460,"U.S. Oil & Refining Co. Murphy Oil USA, Inc. Superior Refinery",,,SUPERIOR,Douglas County,
WV1B1450 WY4A1470,Ergon-West Virginia,"MURPHY OIL USA, INC., SUPERIOR REFINERY ERGON - WEST VIRGINIA, INC.",2407 STINSON AVE ROUTE 2 SOUTH,NEWELL,Hancock County,54880 26050
WY4A1480,Cheyenne Refinery,FRONTIER REFINING INC.,2700 EAST 5TH STREET,CHEYENNE,Laramie County,82007
WY4A1490,Sinclair Casper Refining,Little America Refining Co. (Sinclair),5700 E. HWY. 20/26,CASPER,Natrona County,82609
WY4A1500,Company Douglas Refinery -WY4A1490,Garco Energy Douglas Refinery,2070 Hwy 59,Douglas,Converse,
,Silver Eagle Refining-Evanston,SILVER EAGLE REFINING-EVANSTON,2990 COUNTY RD. 180,,County,
WY4A1510,Sinclair Refinery,SINCLAIR OIL CORPORATION,,EVANSTON,Uinta County Carbon County,82930
WY4A1520,Newcastle Refinery,,100 E LINCOLN AVE 740W MAIN STREET,SINCLAIR NEWCASTLE,,
,,WYOMING REFINING COMPANY,,,Weston County,82334
,,,,,,82701
