ICR_ID,PLANT NAME,FACILITY_NAME,LOCATION_ADDRESS,CITY,STATE COUNTY_NAME,ZIPCODE
CA5A0290,ConocoPhillips SANTA MARIA FACILITY,CONOCOPHILLIPS SANTA MARIA FACILITY- REFINERY,2555 WILLOW ROAD,ARROYO GRANDE,CA,93420
CA5A0300,Golden Eagle Refinery Wilmington,TESORO REFINING AND MARKETING,Avon Refinery,MARTINEZ,CA Contra Costa County,94553 90744
CA5A0310,Valero Refinery Benicia Refinery,Valero Refining Co. - Wilmington (prev. Ultramar Inc.),2402 E. ANAHEIM ST.,WILMINGTON BENICIA,CA Los Angeles County Solano County,94510
CA5A0320,Lunday-Thagard Company,VALERO REFINING CO CALIFORNIA BENICIA REFINERY,3400 EAST 2ND,,CA Los Angeles County,90280
CA5A0330,Commerce City,LUNDAY-THAGARD OIL CO SUNCOR DENVER REFINERY,9301 GARFIELD AVENUE 5801 BRIGHTON BLVD,SOUTH GATE COMMERCE,CA CO Adams County,80022
CO4A0340 DE1A0360,Refinery Delaware City Refinery,Valero Refining Co. (prev. Motiva Enterprises LLC),2000 WRANGLE HILL RD,CITY DELAWARE CITY,DE New Castle County,19706
GA1A0370 HI5A0380,NuStar Savannah Asphalt LLC Refinery,CITGO Asphalt Refining Company CHEVRON PRODUCTS CO - HAWAII,7 FOUNDATION DRIVE 91-480 MALAKOLE ST.,SAVANNAH KAPOLEI,GA Chatham County Honolulu County,31408 96707
HI5A0390,"Refinery, Hawaii",TESORO HAWAII CORPORATION,91-325 KOMOHANA ST,KAPOLEI,HI Honolulu County,96707
IL2A0400,Kapolei Refinery CITGO Lemont,REFINERY REFINERY-KAPOLEI CITGO Petroleum Corp,135TH ST & NEW AVE,LEMONT,HI Will County,60439
IL2A0410 IL2A0420,Refinery Joliet Refinery,,25915 SE FRONTAGE,CHANNAHON,Will County,60410 62454
IL2A0430,"Marathon Petroleum Company LP, Illinois Refining Division River Refinery",EXXONMOBIL-JOLIET REFINERY MARATHON PETROLEUM CO LLC CONOCOPHILLIPS CO WOOD RIVER,ROAD 100 MARATHON AVENUE S CENTRAL AVE,ROBINSON ROXANA,Crawford County Madison County,62084
IN2A0440,Wood BP Whiting Refinery,"REFINERY BP PRODUCTS NORTH AMERICA INC, WHITING",900 INDIANAPOLIS,WHITING,IN Lake County,46394
IN2A0450,CountryMark Cooperative LLP Coffeyville Refinery,"REFINERY COUNTRYMARK COOPERATIVE, INC",2815 BOULEVARD 1200 REFINERY RD,MOUNT,IN Posey County Montgomery,
,,COFFEYVILLE RESOURCES REFINING & MARKETING,400 NORTH LINDEN,VERNON COFFEYVILLE MC PHERSON,KS County McPherson County,47620 67337 67460
KS2C0460 KS2C0470 KS2C0480,National Cooperative Refinery Association Frontier El Dorado Refining Co.,NATIONAL COOPERATIVE REFINERY FRONTIER EL DORADO REFINING COMPANY,1391 IRON HORSE ROAD 1401 S. DOUGLAS ROAD,EL DORADO,KS KS Butler County Boyd County,67042
KY2A0490 KY2A0500,Petroleum Company - Catlettsburg Energy Refining LLC,MARATHON ASHLAND PETROLEUM/CATLETTSBURG,11631 US ROUTE 23,CATLETTSBURG SOMERSET,KY Pulaski County,41129 42501
,Marathon Refinery,SOMERSET REFINERY,600 MONTICELLO RD,LAKE CHARLES,KY Calcasieu Parish,70616
,Somerset PELICAN REFINING CO LLC Calcasieu Refining Company,PELICAN REFINING COMPANY,4646 LA HWY3059 4359W TANK FARM RD,LAKE CHARLES,LA Calcasieu Parish,70605
LA3C0510 LA3C0520 LA3C0560 LA3C0570,CITGO Petroleum Lake Charles Manufacturing,CALCASIEU REFINING CO,,LAKE CHARLES,LA Calcasieu Parish,70601
,Complex,CITGO PETROLEUM CORPORATION CONOCOPHILLIPS CO - LAKE CHARLES REFINERY,4401 HIGHWAY 108 2200 OLD SPANISH TRAIL,WESTLAKE,LA LA Calcasieu Parish,70669
,"ConocoPhillips Refining & Supply Baton Rouge Refinery Refining, L. L. C.",TETRA PROCESS SERVICES LC EXXON REF LACATION BATON ROUGE,4045 SCENIC HWY 500 W. ST. BERNARD HWY,BATON ROUGE CHALMETTE,LA East Baton Rouge Parish St. Bernard Parish,70805 70043 70051
LA3C0590 LA3C0600 LA3C0610 LA3C0620,ExxonMobil Chalmette Marathon Petroleum Company LP,EXXONMOBIL REFINERY COMPLEX MARATHON ASHLAND PETROLEUM LLC,HWY. 61 & MARATHON AVE.,GARYVILLE,LA LA St. John the Baptist Parish St. James Parish,70723
LA3C0630 LA3C0640,Motiva Enterprises Convent Refinery Norco Refinery,MOTIVA ENTERPRISES LLC/CONVENT MOTIVA ENTERPRISES LLC - NORCO,HWY70 & HWY44 15536 RIVER RD,CONVENT NORCO,LA St. Charles Parish,70079
,,REFINERY,2500 EAST SAINT BERNARD HIGHWAY,,LA St. Bernard Parish,70075
LA3C0650,Meraux Refinery Saint Charles Refinery,REFINERY MURPHY OIL USA INC MERAUX TERMINAL VALERO SAINT CHARLES REFINERY,14902 RIVER RD.,MERAUX NORCO,LA St. Charles Parish West Baton Rouge,70079
LA3C0670 LA3C0690,Placid Refining Company,PLACID REFINING CO LLC/PORT ALLEN REFINERY,"1940 LA HWY 1, NORTH 15551 HIGHWAY 23 SOUTH",PORT ALLEN,LA Plaquemines Parish,70767
LA3C0700,LLC Alliance Refinery,BP OIL COMPANY ALLIANCE REFINERY,,BELLE CHASSE,LA Parish LA St. Landry Parish,70037 70750
LA3D0530 LA3D0540,"Alon Refining Krotz Springs, Inc. Calumet Lubricants Company Cotton",VALERO REFINING CO/KROTZ SPRINGS REFINERY CALUMET LUBRICANTS CO - COTTON VALLEY REFI,HIGHWAY 105 SOUTH 1756 OLD HWY7,KROTZ SPRINGS COTTON VALLEY,LA Webster Parish,71018
,Valley Refinery Lubricants Company Princeton Refinery,Calumet Lubricants Co. LP - Princeton,10234 HWY157,,LA Bossier Parish,71067
,,CALUMET SHREVEPORT LUBRICANTS AND WAXES LLC/SHREVEPORT,,PRINCETON,LA,
LA3D0660 MI2A0710,"Calumet Calumet Lubricants, LP",REFINERY,3333 MIDWAY 1300 S FORT ST,SHREVEPORT DETROIT,Caddo Parish Wayne County,
MN2B0720,Michigan Refining Division Flint Hills Resources Pine Bend,MARATHON ASHLAND PETROLEUM,,ROSEMOUNT,LA MI Dakota County,71133-3099 482171294 55068
MN2B0730 MS3C0740,LLC Pine Bend Refinery St. Paul Park Refining Co. LLC,"FLINT HILLS RESOURCES LP MARATHON PETROLEUM CO LLC SAINT PAUL PARK CHEVRON TEXACO PRODUCTS COMPANY,",12555 CLARK ROAD 300 3RD STREET,ST. PAUL PARK PASCAGOULA,MN MN Washington County Jackson County,55071
MS3D0750 MS3D0760,"Pascagoula Refinery Ergon Refining, Inc.",REFINER PASCAGO ERGON REFINING INC HUNT SOUTHLAND REFINING COMPANY,250 INDUSTRIAL ROAD 2611 HAINING RD,VICKSBURG SANDERSVILLE,MS MS Warren County Jones County,395813201 39183
MT4A0770 MT4A0780,Rogerslacey Refinery CHS Inc.,CENEX INC LAUREL REFINERY,HIGHWAY 11 NORTH 803 HWY212 S,LAUREL,MS Yellowstone County,39477 59044
,ConocoPhillips-Billings,CONOCO INCORPORATED REFINERY,401 S 23RD ST,BILLINGS,MT Yellowstone County,59101
MT4A0790,,,,,,
MT4A0800,"ExxonMobil Billings Refinery Montana Refining Company,",EXXON BILLINGS REFINERY MONTANA REFINING COMPANY,700 EXXON MOBILE RD 1900 10TH ST NE,BILLINGS GREAT FALLS,MT Yellowstone County Cascade County,59101 59404
ND2B0900,Inc. Mandan Refinery,Tesoro - Mandan,900 OLD RED TRAIL NE,MANDAN,MT MT Morton County,58554
NJ1A0820,Port Reading Refinery Perth Amboy Asphalt Refinery,AMERADA HESS CORP PACKAGING CHEVRON PRODUCTS COMPANY,750 CLIFF ROAD,PORT READING,ND Middlesex County,07064
NJ1A0830,,CITGO ASPHALT REFINING COMPANY,1200 STATE ST,PERTH AMBOY,NJ Middlesex County,08861
NJ1A0840,"NuStar Asphalt Refining, LLC",,PARADISE RD,PAULSBORO,NJ Gloucester County,08066
NJ1A0850,Bayway Refinery,BAYWAY CHEMICAL PLANT OF INFINEUM VALERO REFINING CO,4 1400 PARK AVE,LINDEN,NJ Union County,07036
NJ1A0860,Paulsboro Refining Company LLC,USA,800 BILLINGSPORT RD,PAULSBORO,NJ Gloucester County,08066
NM3E0880,"Western Refining Southwest, Inc. - Gallup",Giant Refining Co. - Ciniza Refinery,"17 MILES E OF GALLUP ON I-40,",JAMESTOWN,McKinley County,87347
,Artesia Refinery,Navajo Refining Co. - Artesia,EXIT 501 E MAIN ST,39 ARTESIA,NJ Eddy County,88210
NM3E0890,,,,,,
,,,,,NM NM,
